City,Date,Holiday
NASHVILLE TN,42370,New Year's Day
NASHVILLE TN,42387,Martin Luther King Jr. Day
NASHVILLE TN,42415,President's Day
NASHVILLE TN,42454,Good Friday
NASHVILLE TN,42520,Memorial Day
NASHVILLE TN,42540,Juneteenth National Independence
NASHVILLE TN,42555,Independence Day
NASHVILLE TN,42618,Labor Day
NASHVILLE TN,42685,Veterans Day 
NASHVILLE TN,42698,Thanksgiving
NASHVILLE TN,42699,Thanksgiving (Day After)
NASHVILLE TN,42728,Christmas Eve
NASHVILLE TN,42729,Christmas day
NASHVILLE TN,42735,New Year's Eve
NASHVILLE TN,42736,New Year's Day
NASHVILLE TN,42751,Martin Luther King Jr. Day
NASHVILLE TN,42786,President's Day
NASHVILLE TN,42839,Good Friday
NASHVILLE TN,42884,Memorial Day
NASHVILLE TN,42905,Juneteenth National Independence
NASHVILLE TN,42920,Independence Day
NASHVILLE TN,42982,Labor Day
NASHVILLE TN,43050,Veterans Day 
NASHVILLE TN,43062,Thanksgiving
NASHVILLE TN,43063,Thanksgiving (Day After)
NASHVILLE TN,43093,Christmas Eve
NASHVILLE TN,43094,Christmas day
NASHVILLE TN,43100,New Year's Eve
NASHVILLE TN,43101,New Year's Day
NASHVILLE TN,43115,Martin Luther King Jr. Day
NASHVILLE TN,43150,President's Day
NASHVILLE TN,43189,Good Friday
NASHVILLE TN,43248,Memorial Day
NASHVILLE TN,43270,Juneteenth National Independence
NASHVILLE TN,43285,Independence Day
NASHVILLE TN,43346,Labor Day
NASHVILLE TN,43415,Veterans Day 
NASHVILLE TN,43426,Thanksgiving
NASHVILLE TN,43427,Thanksgiving (Day After)
NASHVILLE TN,43458,Christmas Eve
NASHVILLE TN,43459,Christmas day
NASHVILLE TN,43465,New Year's Eve
SAN DIEGO CA,42370,New Year's Day
SAN DIEGO CA,42387,Martin Luther King Jr. Day
SAN DIEGO CA,42415,President's Day
SAN DIEGO CA,43190,César Chávez Day
SAN DIEGO CA,42520,Memorial Day
SAN DIEGO CA,42540,Juneteenth National Independence
SAN DIEGO CA,42555,Independence Day
SAN DIEGO CA,42618,Labor Day
SAN DIEGO CA,42685,Veterans Day 
SAN DIEGO CA,42698,Thanksgiving
SAN DIEGO CA,42699,Thanksgiving (Day After)
SAN DIEGO CA,42728,Christmas Eve
SAN DIEGO CA,42729,Christmas day
SAN DIEGO CA,42735,New Year's Eve
SAN DIEGO CA,42736,New Year's Day
SAN DIEGO CA,42751,Martin Luther King Jr. Day
SAN DIEGO CA,42786,President's Day
SAN DIEGO CA,43190,César Chávez Day
SAN DIEGO CA,42884,Memorial Day
SAN DIEGO CA,42905,Juneteenth National Independence
SAN DIEGO CA,42920,Independence Day
SAN DIEGO CA,42982,Labor Day
SAN DIEGO CA,43050,Veterans Day 
SAN DIEGO CA,43062,Thanksgiving
SAN DIEGO CA,43063,Thanksgiving (Day After)
SAN DIEGO CA,43093,Christmas Eve
SAN DIEGO CA,43094,Christmas day
SAN DIEGO CA,43100,New Year's Eve
SAN DIEGO CA,43101,New Year's Day
SAN DIEGO CA,43115,Martin Luther King Jr. Day
SAN DIEGO CA,43150,President's Day
SAN DIEGO CA,43190,César Chávez Day
SAN DIEGO CA,43248,Memorial Day
SAN DIEGO CA,43270,Juneteenth National Independence
SAN DIEGO CA,43285,Independence Day
SAN DIEGO CA,43346,Labor Day
SAN DIEGO CA,43415,Veterans Day 
SAN DIEGO CA,43426,Thanksgiving
SAN DIEGO CA,43427,Thanksgiving (Day After)
SAN DIEGO CA,43458,Christmas Eve
SAN DIEGO CA,43459,Christmas day
SAN DIEGO CA,43465,New Year's Eve
SILICON VALLEY,42370,New Year's Day
SILICON VALLEY,42387,Martin Luther King Jr. Day
SILICON VALLEY,42415,President's Day
SILICON VALLEY,43190,César Chávez Day
SILICON VALLEY,42520,Memorial Day
SILICON VALLEY,42540,Juneteenth National Independence
SILICON VALLEY,42555,Independence Day
SILICON VALLEY,42618,Labor Day
SILICON VALLEY,42685,Veterans Day 
